Food,Also,Serving,g,Composition
Duck roast Kerala,tharavu roast,1 katori,190,"Duck 125 g, Onion 35 g, Oil 5 g, Ginger 4 g, Garlic 5 g, Black Pepper 2 g, Water 45 g, Salt 2 g"
Mutton stew Kerala,mutton ishtu,1 katori,190,"Mutton 120 g, Coconut Milk 55 g, Potato 25 g, Tomato 25 g, Oil 10 g, Ginger 4 g, Garlic 5 g, Spice Mix 3 g, Water 65 g, Salt 2 g"
Mutton ularthiyathu,Kerala mutton roast,1 katori,190,"Mutton 120 g, Coconut 40 g, Black Pepper 1 g, Tomato 25 g, Oil 10 g, Ginger 4 g, Garlic 5 g, Spice Mix 3 g, Water 65 g, Salt 2 g"
Prawn moilee,chemmeen moilee,1 katori,170,"Prawns 110 g, Coconut Milk 55 g, Tomato 50 g, Oil 8 g, Garlic 4 g, Spice Mix 3 g, Water 40 g, Salt 2 g"
Chemmeen curry,Kerala prawn curry,1 katori,170,"Prawns 110 g, Coconut 30 g, Tamarind 12 g, Tomato 25 g, Oil 8 g, Garlic 4 g, Spice Mix 3 g, Water 40 g, Salt 2 g"
Prawn fry Kerala,chemmeen varuthathu,1 katori,170,"Prawns 110 g, Black Pepper 1 g, Coconut Oil 7 g, Tomato 25 g, Oil 8 g, Garlic 4 g, Spice Mix 3 g, Water 40 g, Salt 2 g"
Crab roast Kerala,njandu roast,1 katori,190,"Crab 120 g, Onion 60 g, Oil 8 g, Tamarind 8 g, Garlic 4 g, Turmeric 1 g, Water 70 g, Salt 2 g"
Mussel fry,kallumakkaya fry,1 katori,170,"Mussels 110 g, Coconut 30 g, Tomato 25 g, Oil 8 g, Garlic 4 g, Spice Mix 3 g, Water 40 g, Salt 2 g"
Anchovy fry Kerala,netholi fry,1 piece,110,"Anchovies 105 g, Rice Flour 12 g, Oil Absorbed 8 g, Lemon Juice 5 g, Chili Powder 2 g, Turmeric 1 g, Salt 2 g"
Meen peera,fish coconut stir-fry,1 katori,190,"Small Fish 120 g, Coconut 35 g, Onion 25 g, Oil 8 g, Tamarind 8 g, Garlic 4 g, Turmeric 1 g, Water 70 g, Salt 2 g"
Kozhippidi,rice dumplings with chicken,1 katori,190,"Chicken 120 g, Rice Dumplings 40 g, Coconut Milk 55 g, Tomato 30 g, Oil 9 g, Ginger 4 g, Garlic 5 g, Spice Mix 3 g, Water 55 g, Salt 2 g"
Erachi pathiri,meat stuffed pathiri,1 paratha,110,"Whole Wheat Flour 45 g, Minced Beef 55 g, Rice Flour 12 g, Oil 7 g, Cumin 1 g, Green Chili 2 g, Salt 2 g, Water 25 g"
Muttamala,egg yolk sweet,1 serving,90,"Egg Yolk 50 g, Sugar 37 g, Ghee 8 g, Cardamom 1 g"
Unnakaya,stuffed plantain sweet,2 pieces,90,"Ripe Plantain 45 g, Coconut 20 g, Sugar 30 g, Ghee 6 g, Oil Absorbed 7 g, Cardamom 1 g, Water 25 g"
Vishu katta,coconut rice cake,3 pieces,120,"Rice 55 g, Coconut Milk 55 g, Water 60 g, Salt 1 g"
Kozhukatta Kerala,rice dumpling,3 pieces,120,"Rice Flour 55 g, Coconut 20 g, Water 60 g, Salt 1 g"
Ela ada,banana leaf rice parcel,1 piece,120,"Rice Flour 50 g, Coconut 25 g, Jaggery 22 g, Water 55 g, Cardamom 1 g"
Neyyappam,ghee rice fritter,2 pieces,90,"Rice Flour 45 g, Jaggery 20 g, Sugar 30 g, Ghee 6 g, Oil Absorbed 7 g, Cardamom 1 g, Water 25 g"
Achappam,rose cookie,2 pieces,90,"Rice Flour 45 g, Coconut Milk 20 g, Sugar 30 g, Ghee 6 g, Oil Absorbed 7 g, Cardamom 1 g, Water 25 g"
Kuzhalappam,rice flour snack,2 pieces,100,"Rice Flour 55 g, Coconut 30 g, Oil Absorbed 10 g, Chili 2 g, Salt 2 g, Water 25 g"
Banana chips Kerala,upperi,2 pieces,100,"Raw Banana 55 g, Coconut Oil 7 g, Besan 25 g, Oil Absorbed 10 g, Chili 2 g, Salt 2 g, Water 25 g"
Sharkara upperi,jaggery banana chips,1 serving,90,"Raw Banana 50 g, Jaggery 12 g, Sugar 25 g, Ghee 8 g, Cardamom 1 g"
Sulaimani tea,Malabar black tea,1 cup,180,"Water 110 g, Full-Fat Milk 70 g, Tea Leaves 2 g, Lemon Juice 2 g, Sugar 8 g"
Sambharam,spiced buttermilk Kerala,1 glass,220,"Yogurt 150 g, Ginger 4 g, Water 55 g, Salt 1 g"
Kuluki sarbath,shaken lime drink,1 glass,220,"Water 175 g, Lime Juice 12 g, Basil Seeds 25 g, Sugar 10 g"
